TaxoName,pValue,fdrCorrectedpVal,CohenEffectSize,foldChanges,Mean0_tolerant,mean1_sensitive
DAG(16:1/18:1),0.05056187540177541,0.1500945182381375,0.16948311398106686,0.776622547577673,1.2567275,1.6181959999999997
DAG(16:1/18:2),0.0707847920073868,0.17939190571424296,0.243445689101033,0.44095548684342956,1.5772625,3.57692
DAG(16:1/20:0),0.07291352011293824,0.18206934875260164,0.2708410509958229,0.6695005217891972,1.116285,1.6673399999999998
DAG(16:1/20:2),0.018965137539987072,0.1012666778078555,0.27532667283978285,0.5497040779129669,1.27877,2.326288
DAG(16:1/20:4),0.05056187540177541,0.1500945182381375,0.23824612670933473,0.7305222145940844,1.1364324999999997,1.5556439999999998
DAG(18:0/18:3),0.025198660621477444,0.10804880236178965,0.24395222091399862,0.6111370192088956,1.3432425000000001,2.19794
DAG(18:1/20:2),0.07961580146011392,0.19148389642956576,0.18317790938157216,0.18443342040010996,3.3426750000000007,18.124019999999998
DAG(18:1/20:3),0.024333172558113,0.10648898712287595,0.3136451683635561,0.6078861819389949,1.15636,1.9022639999999997
DAG(18:1/20:4),0.01966224057392841,0.1024125291243265,0.20898476120839252,0.6885716132710974,1.2462374999999999,1.809888
DAG(18:1/22:4),0.01828974278616612,0.1012666778078555,0.3061988907876065,0.7111122486665477,1.1321675,1.592108
DAG(18:1/22:5),0.005945618953510678,0.06574965771071685,0.29797879128757265,0.6045892745727633,1.1124224999999999,1.839964
DAG(18:1/22:6),0.03661399013265823,0.1279301201224267,0.27435246316114614,0.642048506017977,1.233745,1.9215759999999997
DAG(18:2/22:4),0.040404459329941855,0.134004855404269,0.2576244858924059,0.7867923640459618,1.0701100000000001,1.3600919999999999
DAG(18:2/22:5),0.0666801794901224,0.17365482327335555,0.25868977615932087,0.6155416709872457,1.2347175,2.0059039999999997
DAG(18:2/22:6),0.11310568097725372,0.233641662164692,0.18084386831470778,0.31659079305428894,2.4356899999999997,7.693496
DCER(22:1),0.08681052122394842,0.20359705115782378,0.25079362595854354,0.8453953405299828,1.0318625,1.2205679999999999
FFA(12:0),0.018965137539987072,0.1012666778078555,0.2625343737232049,3.776476687040787,4.03583,1.068676
FFA(20:4),0.07961580146011392,0.19148389642956576,0.010341129219911918,0.9824441590509166,1.3846175,1.4093600000000002
FFA(24:0),0.08435611186038772,0.20061159375201448,0.22609682186532634,1.4042851770203608,1.403965,0.9997719999999998
FFA(24:1),0.10276767916591675,0.21867907354875482,0.19639332648730012,1.2411183601603164,1.1532025000000001,0.929164
HCER(18:0),0.048991734058374536,0.1469752021751236,0.08466119663800564,0.771465006154359,2.2964600000000006,2.9767520000000003
HCER(18:1),0.102771437392171,0.21867907354875482,0.16877014358991016,0.6602439612406041,1.8786924999999997,2.8454520000000003
HCER(20:1),0.07961580146011392,0.19148389642956576,0.04988061668267671,0.9045776397954447,1.536085,1.6981240000000002
HCER(24:0),0.08435611186038772,0.20061159375201448,0.0701930508162271,0.8032664935171173,2.5138,3.1294719999999994
HCER(24:1),0.06089244635765351,0.1656977146078456,0.030161663366136012,0.9034739071024739,2.5574925,2.830732
LPC(20:1),0.07142345772985649,0.1794038923451129,0.222875488033553,0.9908835270458237,0.9204000000000001,0.9288679999999999
LPE(18:2),0.07530517408167658,0.18319224296660006,0.2074314135313988,0.6813410216249957,0.7116825,1.044532
MAG(18:1),0.0627736093103138,0.16865441235587472,0.288260778457267,0.44172330277851574,1.7556275,3.9744960000000003
MAG(18:2),0.08681052122394842,0.20359705115782378,0.21758136123986227,0.5017347478313048,2.1673175000000002,4.319648
MAG(20:4),0.02390863781033069,0.10627452094749087,0.2436245313552287,0.7571908567573902,1.059625,1.3994160000000002
MAG(22:0),0.010011163520751997,0.07726798026471314,0.19254740643870547,0.7778191540837651,1.1895375,1.529324
MAG(22:2),0.023080278513571487,0.10497915614209617,0.21679260972900494,0.7767213776648575,1.1042275,1.421652
MAG(22:4),0.0459740380614299,0.14297420627895233,0.17284627309978026,0.79392989098489,1.2858425,1.6195920000000001
PC(18:0/12:0),0.026067103180598877,0.10858322323762565,0.26533782084008006,0.7406509770443412,0.4095,0.552892
PE(14:0/18:2),0.026067103180598877,0.10858322323762565,0.19571232359780877,0.8295060216370688,0.6502,0.78384
PE(15:0/22:6),0.07142345772985649,0.1794038923451129,0.221200959850998,0.8994469946145227,0.4976999999999999,0.5533399999999999
PE(17:0/18:1),0.026067103180598877,0.10858322323762565,0.23971537734926557,0.9471844553310946,0.6883,0.7266800000000002
PE(P-18:2/18:2),0.0362464659220673,0.1279301201224267,0.30596828117512326,0.6551454590158611,0.5648899999999999,0.8622359999999999
PI(16:0/16:1),0.07142345772985649,0.1794038923451129,0.20116649444254575,0.9104093425158885,0.4796,0.526796
PI(16:0/18:3),0.03642339858100011,0.1279301201224267,0.16230398883211491,0.8186054754104644,0.512745,0.6263639999999999
PI(18:1/18:2),0.03584618411641622,0.1279301201224267,0.15236036700195618,0.718176169850174,1.0114075,1.4083
PI(18:2/18:2),0.03362483029734075,0.12575982785216872,0.12392810760454526,0.7190649701807571,1.6243275000000001,2.258944
SM(16:0),0.06470256874857987,0.17059776666939228,0.2452445939971934,0.47503255249708026,1.3454575000000002,2.8323479999999996
SM(20:0),0.08925230470978057,0.2049583833510085,0.3023695532851395,0.4488132669800189,1.1699,2.6066519999999995
SM(24:1),0.0945176318521969,0.20952618260572198,0.2945822809400259,0.46221589689275644,1.2917825,2.79476
SM(26:1),0.021888073757982927,0.10324556046867056,0.11890827399056066,0.8760580111864575,1.0619399999999999,1.2121799999999998
TAG42:1-FA14:0,0.09721020235985654,0.21270995310185103,0.0652087328881438,0.6509613987937031,3.4238825000000004,5.259731999999999
TAG44:1-FA14:1,0.051360078929810045,0.1514052326785025,0.20749966444650156,0.38059213518922846,1.0040324999999999,2.63808
TAG44:1-FA16:0,0.06870729999982272,0.17676514454499848,0.159005479783719,0.3716121874498254,1.7219825,4.6338159999999995
TAG44:1-FA16:1,0.034260902898351084,0.12701967930436714,0.26960414157166884,0.43931854944175025,1.2026275,2.7374839999999994
TAG45:0-FA14:0,0.022679222449061603,0.10497915614209617,0.32358108691859955,0.5888032170376276,1.152335,1.95708
TAG45:0-FA15:0,0.008899379826678383,0.0712789950268863,0.3296243534635365,0.6046110677261062,1.08081,1.7876119999999998
TAG45:0-FA16:0,0.02349356851236546,0.10497915614209617,0.2711757571054763,0.4265270533667815,1.1344049999999999,2.659632
TAG45:1-FA16:0,0.03542177347253533,0.1279301201224267,0.27429648961868924,0.5063027809154967,0.9412675,1.8591
TAG46:1-FA14:0,0.048991734058374536,0.1469752021751236,0.019817445675489233,0.8988632005313326,3.4592175,3.8484360000000004
TAG46:1-FA16:1,0.01360330523656653,0.08835189499478005,0.3467730524747147,0.44890774421323143,1.215055,2.7066920000000003
TAG46:1-FA18:0,0.06089244635765351,0.1656977146078456,0.189028011355004,0.47785263888529034,1.4016775,2.933284
TAG46:2-FA14:0,0.0299369512858127,0.11821614717048828,0.07301926153223223,0.7673154299752866,2.10385,2.741832
TAG46:2-FA16:0,0.08932226365120512,0.2049583833510085,0.05267742464269394,1.2893673928534828,4.328035,3.356712
TAG46:2-FA16:1,0.014124260885104033,0.09016163527408515,0.3968499169662872,0.4763104965959488,1.13199,2.37658
TAG46:3-FA14:1,0.0032873017708338528,0.05499608861502526,0.3380685529682891,0.7245115423744314,1.0141075000000002,1.399712
TAG46:4-FA18:2,0.09189221109865636,0.20749065750733844,0.06133847085376642,0.8218536882789801,1.7334275,2.109168
TAG47:0-FA14:0,0.03542177347253533,0.1279301201224267,0.2651859948133715,0.5969428077430983,1.3036825,2.183932
TAG47:0-FA17:0,0.015219241743104586,0.09500835470511614,0.2485307922060396,0.6452447470896037,1.2725775,1.97224
TAG47:1-FA14:0,0.006195491892647053,0.06574965771071685,0.29906667113169316,0.47915303752046823,0.9785225000000001,2.042192
TAG47:1-FA15:0,0.008220817926478151,0.0712789950268863,0.3347180767684361,0.49937315089495676,1.0005799999999998,2.003672
TAG47:1-FA16:0,0.007899217911927745,0.0712789950268863,0.3607045447590528,0.5616363566029597,0.9582325,1.7061439999999999
TAG47:1-FA16:1,0.06088962513234111,0.1656977146078456,0.24357013942314126,0.6455050653228172,1.34649,2.085948
TAG47:1-FA17:0,0.027009841606625184,0.10919693106678467,0.27671634858296185,0.5883923018998829,1.1126875,1.8910639999999999
TAG47:1-FA18:1,0.0707847920073868,0.17939190571424296,0.18552401882736202,0.2096184083212385,1.067605,5.093088
TAG47:2-FA14:0,0.008554085071697647,0.0712789950268863,0.33850276465996754,0.6829244000402835,0.9222374999999999,1.350424
TAG47:2-FA15:0,0.005251505228888482,0.06279616815952566,0.32648343761678655,0.5284842456178083,0.9042449999999999,1.7110159999999999
TAG47:2-FA18:2,0.05382881110611106,0.1549174936579264,0.18878729201933553,0.2960225391869162,1.0587849999999999,3.576704
