# Gene Family	3003B	3004B	3005B	3007B	3008B	3009B	3012B	3013B	3014B	3016B	3020B	3021B	3022B	3023B	3025B	3026B	3027B	3028B	3029B	3030B	3031B	3032B	3033B	3036B	3037B	3039B	3042B	3043B	3044B	3046B	3047B	3048B	3049B
1.1.1.311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.317	0	0	0	15.964	0	0	5.39	243.48	292.268	9.711	36.791	195.819	74.76	0	8.57	32.017	25.969	473.791	36.351	20.461	0	92.997	127.726	82.385	0	0	450.023	511.991	0	0	0	292.493	30.174
1.1.1.329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.476	0	0	0	0	0	0	0	0	5.06	0
1.1.1.336	45.866	147.077	186.937	212.988	18.941	0	559.745	578.603	154.087	1120.673	450.535	301.825	456.808	2124.145	17.597	167.507	19.356	0	44.99	542.929	214.544	118.281	611.394	13.974	44.809	368.925	191.392	742.905	42.066	842.798	241.693	60.413	14.675
1.1.1.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.709	0	0	0	0	0	0	0	0	0	0
1.1.1.34	0	0	0	0	0	16.307	0	226.589	0	187.694	147.194	0	41.432	0	0	0	360.033	0	21.769	0	0	2238.207	0	1268.35	0	0	0	0	0	0	0	0	0
1.1.1.341	0	0	0	0	0	0	0	133.709	0	39.876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.346	0	30.975	0	0	0	0	0	0	0	0	0	8.827	0	0	0	0	4.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.684	202.12
1.1.1.347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
