out,3003,3004,3005,3007,3008,3009,3012,3013,3014,3016,3020,3021,3022,3023,3025,3026,3027,3028,3029,3030,3031,3032,3033,3036,3037,3039,3042,3043,3044,3046,3047,3048,3049,3003A,3003B,3004A,3004B,3005A,3005B,3007A,3007B,3008A,3008B,3009A,3009B,3012A,3012B,3013A,3013B,3014A,3014B,3016A,3016B,3020A,3020B,3021A,3021B,3022A,3022B,3023A,3023B,3025A,3025B,3026A,3026B,3027A,3027B,3028A,3028B,3029A,3029B,3030A,3030B,3031A,3031B,3032A,3032B,3033A,3033B,3036A,3036B,3037A,3037B,3039A,3039B,3042A,3042B,3043A,3043B,3044A,3044B,3046A,3046B,3047B,3048A,3048B,3049A,3049B
Bacteroides_eggerthii,0,0,0,0,0,0,0,0,0,0,0,0,0.12663,0,0,0,0,0,0,0,0.4249,0,0,0,0,0,0,0,0,30.45953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52323,1.70413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33313,1.43265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.65925,0,0,0,0,0
Coprococcus_comes,0.10456,0.14283,0.19515,0,2.52798,1.09242,0.06604,0,0.73649,0.45288,0.50521,0.09746,1.39298,0.53457,4.04092,1.64328,1.48941,1.6307,0.02573,0.5401,2.36094,0.13569,0.29992,2.12557,0.06361,0.556,0.68397,0,0.6034,0,0.77679,0.77382,1.86171,0.17277,1.15573,0.3022,0.07337,1.20021,0.30276,0,0,1.46728,2.9469,0.06779,0,0.26811,0.07429,0,0,2.33817,1.33207,0.59244,0.52321,0.2654,0.59146,0.82036,1.80795,0.47756,0.63674,0.19883,0.16391,0.8383,2.15282,1.12842,0.4615,1.15092,2.02569,1.65694,0.33963,0,0,0.7624,0.92984,0.64458,1.53452,0.26863,0.0231,0.45201,0.39208,1.50352,2.05474,0.29419,0.52602,0.54066,1.78038,0.05652,1.47437,0,0,0.44161,1.91126,1.38928,0,0.414,0.04023,1.60176,4.41361,0.29332
Roseburia_hominis,1.75891,0.02986,0.29127,1.88432,0.83757,1.292,0,0.3949,0.50033,0,0.23718,0.01519,0.44958,0.67353,0,0.02944,2.66042,1.04401,0.15911,0.25531,0.15713,0.5099,0.09008,0.4714,1.31766,0.93909,0.05946,0,0.36277,0.01988,0.12904,0,0.43005,0.60765,0.66488,0,0.1828,2.03058,0.56222,0.32819,0.71457,0.27731,0.47587,0.27456,0,0.40981,0.0161,0.01573,0.20848,0.31617,0.09273,1.32631,0.04851,0.69839,0.92336,0.27161,0.0728,0.22712,0.45267,0.01108,5.59695,0,0.05887,0.03217,0.00059,0.71989,1.67823,0.01397,0.12853,0.18158,0.75906,0.50241,4.52084,0.13729,0.70279,2.71924,1.16045,0.22256,0.20824,5.50268,1.08109,2.17542,0.34235,4.87753,1.35474,0,0.00191,0,0,0,11.30636,0.05536,0.43727,0,1.99586,0,0.33999,0.21393
Roseburia_inulinivorans,0.34251,0.18461,0.16584,0.23447,1.17384,2.49194,0.4891,0.32425,0.35248,0.00915,0.14713,0.02665,0.06464,4.25293,0,0.05401,0.39685,0.04223,2.12642,1.53354,0.06241,0.26424,0.02183,4.70041,0.0406,0.59525,0.24946,0.00634,0.03773,0,0,0.44946,0.97245,0.17453,1.83919,0,0.69031,0.7698,1.22312,0.1205,0.15414,0.18272,0.26134,0.15023,0,0.16083,0.52382,1.65276,0.04438,0.59522,0.61796,0.59169,0.16385,0.73641,2.57719,1.40453,0,0.37189,0.56637,0.09105,7.99197,0,0,0.22632,0.29215,0.08985,0.1909,0.01954,0.09332,0.1444,0.97334,0.85449,6.6704,0.8035,1.60926,1.82634,0.19909,0.06363,0.05033,0.33672,0.77863,0.49191,2.71518,0.71796,0.6073,0,0.42551,0,0,0.00312,0.02676,0.05052,0,0,0.03846,0.05281,0.46403,6.21865
Dorea_formicigenerans,0.36853,0.50101,0.83856,0.86487,0,2.70997,0.14431,0.10728,0.99377,0.24771,0.14331,0.03879,0.82016,0.66096,2.1543,1.20223,2.04404,0.25668,0.01766,0.83184,0.31349,0.20325,0,0.90925,0.26531,0.11538,0.31972,0.54889,0.39097,0,0,2.14022,0.89182,0.20785,1.97444,0.00506,1.51409,1.49471,0.71603,0.33558,0.09351,0,0,1.55278,2.86242,0.04868,0.50487,0.01473,0.0994,3.23511,1.9097,0.15652,0.04585,0.13611,0.19577,0.82299,1.05749,0.29145,0.7243,0.09088,0.07865,1.30774,2.67302,0.33365,0.26578,1.43912,3.48135,0.21235,0.32771,0,0,0.85007,0.37234,0.18268,0.18426,0.88859,0.157,0,0,0.8795,1.0788,0.1947,0,0.29874,0.55143,0.05417,0.53931,0.11152,0.38596,0.27852,4.02337,1.06286,0,0,0.87116,0.64306,1.4274,1.16326
Ruminococcus_bicirculans,1.53508,0,0,7.0692,7.92797,0.55754,0.42366,1.10919,0,0,0.13831,0.00479,0.93731,0.08184,0,0.00706,0.10999,0.27282,0.12318,1.2064,0.8995,0.21604,0.45421,0,0.94194,0.40256,0,2.41595,3.01344,0,1.23961,0.01883,0.58925,0.78306,0.5706,0,0,0.06219,0,1.19011,1.45748,5.34193,1.43985,0.10872,0,0.53056,0.07842,0,0.52688,0,0,0,0,1.05652,0.32269,0.87969,0.136,0,0.80849,0.05315,0,0.00297,0.01088,0.19887,0.4616,0.26026,0.50978,0.23185,0.11698,0.03537,0.06951,0.83203,3.13848,0.06454,0.16162,0.25076,0.19049,1.56737,1.02571,0,0,0.30357,0,0.02735,0.00991,0,0,0.17016,2.1173,3.3669,1.55615,0,0,0.14864,0.62945,0.87921,1.04438,0.06286
Bifidobacterium_angulatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44063,0,0,0,0.04504,0,0,0,2.59589,2.17361,0,0,8.6606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51798,0.50969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02743,1.05172,0.33742,1.25665,0,0,0,0,12.52407,9.836,0,0,0,0,7.55874,0,0,0,0,0,0
Eubacterium_siraeum,0.11339,0,3.8362,0.00039,0.01634,0.73702,0,0.04368,0,3.2397,0.3166,0,0.00503,0,0,0.01768,0.08451,0,0.07128,0.18345,0,0,0.10855,0.13955,5.35255,0.18966,0.00058,0,1.13937,0,0,0.58551,0,0.01284,0,0,0,4.06881,9.04349,0,0,0,0,0.03705,0,0.03874,0,0,0.03077,0.00175,0,1.40623,4.16003,0,0.01749,0,0,0,0.05985,0,0,0,0.54768,0.70635,4.94491,0.40749,0.28815,0.00527,0,1.5109,0.91383,0.36535,1.25127,0,0,0,0,0.12502,0.35634,0.25301,1.59952,8.14056,7.50569,0.1633,0.03347,0,0.00093,0.00388,0,0.05617,0.36172,0,0,0,0.02748,0,0,0
Eubacterium_sp_CAG_251,0,0,0,0,0.00214,2.41372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15181,0,0.01503,3.419,3.93829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01905,0.00167,2.72697,1.73671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629,0.01825,0,0,0,0,11.22435,14.67992,2.2476,12.74499,0,0,0.00945,0.0121,0,0,0,4.2629,0,0,0,0,0,0,0,0,0
Intestinibacter_bartlettii,0.49684,1.36899,0.01393,0.47661,0.13575,2.10365,0.06425,0.04277,0,0,0.1185,0.09903,0.07176,0,0.61835,0.1172,2.29838,1.27506,0.1766,0.30557,0.10922,1.0769,0.52061,0.06634,0.33534,0.40059,1.17163,0.62568,0.56553,0.0729,0.80703,0.68882,0.81231,0.3846,1.20995,0,0.37572,0.34924,0.64008,0.08928,0.01653,0.6259,0.62341,9.84049,0.08607,0.06401,0.02376,0.05508,0.37756,1.75773,0.19046,0,0,0.0579,0.11661,0.2381,1.57169,0.38697,0.08391,0,0,0,0.07825,0.2284,0.00801,4.29622,0.38673,0.84848,0.88837,0.08844,0.41882,0.21233,0.07982,0.26533,0.05083,1.99446,0.76283,0.88324,0.33436,0.02543,0.20112,0.11448,7.43866,0.27303,0.60527,0.43689,1.09678,0.07328,0.33412,0.20945,0.05261,0,0,0,0.37469,0.09353,0.96203,0.75451
Alistipes_finegoldii,0.20415,2.24056,0.05647,0.34855,0,1.31491,0.56601,2.238,0.05684,0,0.11341,0.1058,0.00497,0.0633,0,0.82176,0.03174,0.0889,0.03011,0.3365,0.3834,3.96999,0.10082,0,1.54985,0,0,0.60163,0.24863,0.13848,0,0.00989,0.15888,0.19553,0.03932,0,0.22703,0.02467,0.10096,2.70324,1.91608,0,0,0.566,0.23227,4.76997,1.84283,0.27068,1.26952,0.03631,0.07021,0,0,0.10745,0.016,0.37905,0.0779,0.69673,0.55768,0.13516,0.11002,0.12715,0.2281,0.44284,5.45348,0.03826,0,0.53667,0.38505,0.00278,0.0419,0.37894,0.63569,0.37678,1.32062,0.46021,3.4034,0,8.6893,0,0.00969,0.86398,2.25667,0,0,0,0,0.53786,1.68239,0.0549,0.02535,0.15015,0.22887,0,0.04763,0.2379,0.01831,0.01152
Bacteroides_plebeius,0,0,0,0,0,0,31.13734,0,2.18359,0,0,0,0,0,0.30816,0,1.19939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01479,6.02905,0,0,2.15133,1.44836,0,0,0,0,0,0,0,0,0,0,0.20204,1.31648,0,0,0.821,0.6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides_distasonis,0,0,0.77565,0.46091,0.28136,0.00294,2.72903,0.28907,0.0388,0.44672,0.05055,0,0.00764,1.52666,0,0.07869,0.09314,0.0767,0.58558,0.61004,0,1.96465,0.28928,0.00527,0.60632,0.42126,4.1148,0.17391,0.65992,1.24107,0,0.21396,0.08868,0,0,0,0,0.34868,1.32151,2.16614,4.17283,0.35097,0.13289,0.10782,0,1.6091,1.87178,0.06322,0.17284,0.0695,0.04247,1.18976,2.71755,0.2503,0.18656,0,0,0.406,0.48209,1.39654,3.5266,0.1123,0.11732,0.2914,1.19286,3.6673,0.033,1.02575,0.08706,0.01987,0.02576,0.25763,0.30938,0,0,0.16248,0.82173,0.17093,0.26721,0.01296,0.02702,1.25175,0.92798,0.27823,0.31385,0.12109,0.19903,0.03826,0.12545,0.2618,0.10562,0.00836,2.48783,0,0.2008,0.08504,0,0.08431
Bacteroides_thetaiotaomicron,1.85817,0.22662,0,0,0,0.15762,0.4742,2.45947,0,0.48013,0.10802,0,0,0.31232,0,0.05467,0.17011,0,1.62587,1.30295,0.34846,0.09374,2.80809,0.0091,0.51178,0.00835,0,0.35819,0,4.9215,1.22321,0.14145,0.3307,0.66512,0.57543,0,0.18545,0,0,0,0,0,0,0.11328,0,0.73706,2.64981,0.54364,0.17082,0.00566,0.01054,1.17435,3.44262,0.34254,0.16423,0,0,0.16797,0.09644,0.34154,2.86887,0.2489,0.18776,0.13191,0.75265,0.1364,0.11671,0,0,1.08474,0.06426,0.5989,1.21568,0.16791,0.16407,0.02154,0.04893,1.31953,5.44798,0,0.00519,0.48203,0.12258,0,0,0,0,0.12392,0.13359,0,0,0,4.0688,1.01022,0.06569,0.10465,0.00409,0.48144
Roseburia_intestinalis,0.25892,0,0.56992,0.08688,1.10436,0,0.01418,0.22011,1.16647,0.44211,0.11464,0.40903,0,1.09006,0,0.20691,0.82142,1.11059,1.25651,0.03167,0.69232,0.14416,0,0.20538,0.87922,0.90034,0,0.57313,0.35744,0,0.13073,0,0.96653,0,0.40364,0,0,0.77797,0.67012,0,0,0.27146,0.57358,0,0,0.30709,2.14633,0,0.03255,0.75225,0.47286,0.04551,0.05799,0.21322,4.07087,0.5339,1.98796,1.17433,0,0.14968,0.88595,0,0,0.15106,0.30178,0.157,0.25241,0.85729,0.39229,0,3.81623,0.02203,0.32768,0.49227,2.88774,0.45911,0.04738,0.03098,0.00651,0.10366,0.28131,0.61904,2.92079,0,0.66018,0,0,0,0.43679,0.14967,0.44108,0.03328,0,0,0,0,0.10146,3.043
Monoglobus_pectinilyticus,0.51941,0,0.30241,0.25509,0.24424,0.73267,0,0,0.36566,0,0,0,0,0,0,0.2427,0.06911,0,0.61516,0,0.105,1.55257,0,0.42565,0.17224,0.60625,0,3.48331,0.43775,0,0,0,0.38629,0.14647,0.44107,0,0,0.07527,0.01915,0.30876,0.05532,0.03329,0.09165,0,0,0,0,0,0,0.97963,0.18026,0,0,0,0,0,0,0,0,0,0,0,0,0.33095,0.53196,0.12182,1.62839,0,0,0.66909,0.05439,0,0,0.01639,0.19409,4.17241,1.94461,0,0,0.56222,1.00942,0.02348,3.83561,0.50134,0.12437,0,0,0.23789,0.6548,11.33212,3.2898,0,0,0,0,0,2.41559,0.18603
Gemmiger_formicilis,0.01715,0.26963,1.08385,0,0.55869,0.40957,0.00398,0,0.41622,0.34138,0.12242,0.00517,0,0,2.29737,1.36657,0.01233,0.10755,0.38058,0.37916,0.69298,0.06434,0.21575,0.42089,1.15168,0.01519,0.11776,0.09142,0,0,0,0.18656,0.24066,0.27871,2.59114,0,0.68701,2.37446,0.49082,0,0,0.52917,0.85051,0.25189,1.91338,0.05385,0.11172,0,0,0.13325,0.18704,0.2341,0.25903,0.04202,0.1353,0.33725,0.31715,0,0,0,0,1.63885,0.78043,0.33567,0.72198,0.05129,0.03213,0.2705,0.24144,0.29155,0.331,0.49827,0.12756,0.27499,0.47416,0.14871,0.0611,0.33055,0.06301,0.12226,0.23009,0.85689,1.84084,0.12349,0.46096,0.00175,0.19955,0.24419,0.35116,0.11025,0.66709,1.37954,0.00866,0,1.46403,1.321,0.68674,0.25359
Clostridium_spiroforme,0.14617,0.03353,0.2551,0.19683,0.00333,0.87345,0.14189,0.10597,0.30515,0,0.05377,0.03015,0.10503,0,0,0.22046,1.38769,1.58043,0,0.02264,0.16046,0.25228,0.6797,0.54795,0,0.00455,0.03912,0.57356,0.93685,0,0.06391,0.20336,0.3935,0.01887,0.4156,0,0.11678,0.11496,0.2993,0.07985,0,0.02232,0.18596,1.98485,2.04325,0,0.0125,0.01422,0.48457,1.87456,0.50514,0,0,0.02408,0,0.17125,0.64271,0.09583,0.09975,0,0,0,0,0.44768,0.37076,1.61863,5.46699,0.38749,0.51034,0.36831,0.00266,0,0,0.17296,0.06291,1.55755,0.24397,0.18371,0.18569,0.18218,0.37351,0,0,0.49694,0.53452,0,0.14823,0.01072,0.30514,1.80248,0.29524,0,0,0.28292,0.00661,0.06244,0.15885,0.60068
Flavonifractor_plautii,0.35004,0.15441,0.00154,1.66984,0.321,0,0.01527,0.0903,0,0.03874,0.09983,0.48895,0,0.77371,0,0.08351,0,0.03417,0.02169,0.0478,1.13441,0.4085,0.09664,0.07976,0.07431,0.00788,0.44146,0.10045,0.04728,0.55186,5.70095,0,0.36708,0.12589,0.06971,0.12675,0.0464,0,0,1.59649,0.45935,0.08194,0.01462,0,0,0.33711,0.3809,0.0204,0.2452,0,0,0.07087,0.02347,0.0089,0.00819,3.26977,3.24365,0.13512,0.23209,0.15985,0.27009,0,0,0.26362,0.32453,0,0,2.52855,0.183,0,0,0.1006,0.02091,0.059,0.76372,0,0.14415,0.11038,0.22835,0,0,0.02997,0,0.21216,0,0,0.10346,0.05066,0,0,0,0,0.34462,4.97059,0.02924,0.0287,0.15293,0.47163
Dialister_invisus,1.07491,0,0.67981,1.42626,1.09795,0,0.04968,0.09525,0,2.30752,0,0.55324,0.01707,0,0,0,0,0.02125,0.18739,0.00724,0,0,0,0,0,1.37027,0.93381,0.18065,0,0,0,0.52593,0,3.40068,0.26002,0,0,0.48107,1.28811,0.68038,1.11473,1.55711,0.6109,0,0,0,0,0.11284,0,0,0,2.52353,1.09195,0,0,1.80814,2.62657,0.00972,0.00875,0,0,0,0,0,0,0,0,0.13815,0.01824,0.04045,0.02406,0.01175,0.04959,0,0,0.00539,0,0.01257,0,0,0,0,0,0.39892,0.49451,0.06184,0.49811,0.02496,0.06041,0,0,0.71354,0,0,2.11545,2.09175,0,0
Eubacterium_ventriosum,0,0.33999,0.1845,0,1.38275,0,0.30242,0,0.01157,2.90887,0.72281,0.29411,1.1315,0,0,0,0.92961,0.07999,0.14725,0,1.79378,0,0.17973,0.00108,0.12457,0.6092,0.02916,0.09662,0,0,0,0.09227,1.62665,0,0,0.04458,0.17022,3.39046,0.67818,0,0,0.12444,0.04943,0,0,0.07227,0.37468,0,0,0.54046,0.14588,2.2429,1.26693,0.33646,0.38566,1.05028,2.35606,0.0403,0.5001,0,0,0,0,0,0,0.30312,1.39854,0.39133,0.02225,0,0,0,0,0.1499,0.33481,0,0,0.02162,0.49663,0.09908,0,0.18556,0,0.38107,0.05812,0,0,0.19094,0.18602,0,0,0.26528,0,0,0,0.06289,0.70752,2.04201
Streptococcus_salivarius,1.1102,0.84339,0.56882,0.211,0.04827,0.248,0.0007,0.19846,0,0.01571,0.00555,0,0.58046,0.37262,0.22119,0.63368,0.32303,0.15173,0.01838,0.01217,0.94938,3.55488,0.39567,0.58779,0.13462,0.02063,0.28723,0.30185,0.10374,0,0.03425,0.35615,0.13672,0.0785,2.02158,0.25369,1.06564,0.22134,0.53487,0.14159,0.01613,0.02739,0.20703,0.0629,0,0.07545,0,0.06836,0.28599,0.03441,0.08266,0.04101,0.043,0.0584,0.01169,0.05135,0.68227,0.123,0.47285,0.15441,0.02453,0.02917,0.58352,0.10172,0.09008,0.7415,0.57147,0.16444,0.09296,0,0.19652,0.06363,0.01963,0.50131,0.49298,1.39917,0.44055,0.25793,0.05364,0.06612,0.2588,0.09955,0,0.15293,0.26479,3.24454,1.66938,0.0579,0.09341,0.21902,0.28384,0.13918,0,0.12715,0.0727,0.91008,0.38545,0.74215
Coprococcus_eutactus,0.20471,0,0.38364,0,0,0,0,0,0,0,0.01103,0,0,0,0.50575,0.98874,0.38372,0,0.00066,0,0,0,0,0.68311,0,5.95264,0.14092,0,0,0,0,0,0,1.64313,0.73989,0,0,0.87964,0.30728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06739,0.59636,0,0,0,0,0,0,0.31226,0.78787,0.5352,2.43804,0.85211,0.10296,0,0,0,0,0,0,0,0,0,0,0,0,0.56059,0.19689,0,0,4.2288,7.41104,0,0.40899,0,0,0,0,0.02608,0,0,0,0,0,0
Firmicutes_bacterium_CAG_145,0,0,0.17854,0,0.14882,0,0.0194,0,0.07572,0,0,0,0,0,0.16151,0.01472,0.01425,0.12264,0.00056,0,0,0.14864,0.87043,0,0.01174,0.18923,0,0.17597,0.70396,0,0.14874,0,0,0,0,0,0,0.03281,0.11671,0,0,0.01214,0.02404,0.74288,0.63681,0.00075,0,0,0,0.06143,0.00578,0.00395,0,0,0,0,0,0,0,0,0,0.0015,0.48184,0.2363,0.15562,0.0095,0.05257,0,0.13071,10.20145,0.65202,0,0,0,0,0.09089,0.01104,0.26999,0.60088,0,0,0,0,0.16575,0.07599,0,0,0.04552,0.06197,3.94434,5.52682,0,0,1.66333,1.13279,0,0,0
Collinsella_stercoris,0.04757,1.05037,0.2716,0.02443,0.11723,0.15295,0.02279,0.07794,0.20266,0.25296,0.48642,0.01204,0.23659,0.6309,0.53006,0.83635,0.02931,0.80458,0.02869,0.35124,0.33685,0.66697,0.34907,0.7064,0.28834,0.03279,0.56435,0.66173,0.2319,0,0.44394,0.13176,0.58564,0.03916,0.0514,0.10322,0.68114,0.30795,0.58393,0.01922,0.00659,0.08936,0.19338,0.01323,0.07057,0.09692,0.05068,0.12756,0.48068,0.08296,0.14764,0.06936,0.13334,0.23781,0.28027,0.06864,0.03744,0.53926,0.30595,0.35183,0.08737,0.24898,0.43982,0.57573,0.20726,0.13764,0.101,0.36467,0.50757,0.04986,0.06334,0.43847,0.2196,0.21268,0.30042,1.18908,0.64916,0.30885,0.15872,0.1889,0.47496,0.04749,0.04639,0.0799,0.04203,1.32092,0.78104,0.15523,0.38757,0.18791,0.37999,0.57009,0,0.62111,0.18574,0.90198,0.85306,0.13547
Ruminococcus_sp_CAG_488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11621,0,0,0,0.00208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.34224,17.46866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holdemanella_biformis,0,0,0,0,0.47222,1.67711,0,0,0,0.31584,1.18979,0,0.56509,0,0,0,0,0,0,0.0648,0,0,0,10.72443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71826,1.43627,0.84335,2.06067,0,0,0,0,0,0,0.05497,0.21131,0.28102,0.16129,0,0,0.35351,0.44592,0,0,0,0,0,0,0,0,0,0,0,0,0.05394,0,0,0,0,0,0,0,3.59791,2.2192,0,0,0,0,0,0,0,0,0,0,2.42197,0,0,0,0,0,0
Bacteroides_intestinalis,0,0,0,0,0,0,0,0,0,0,0,0,0.01271,0.72006,0,0,1.05354,0.14247,0,0,0,0,0,0,5.67396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4045,0.31238,0.85242,0.11096,0,0,0,0,1.7761,0.75979,0.74712,0.04768,0,0,0,0,0,0,0,0,0,0,0,0,2.63166,12.10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sp_CAG_510,0,0,0,0,0,8.87354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91402,7.08402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odoribacter_splanchnicus,0,0.10388,0.47819,0,0,0.02848,0.07862,1.15264,0.06644,0.26101,0.2096,0,0,0.06237,0.00574,0.03475,0.77079,0,0,0.18706,0,0.44109,0,0.03751,0.66066,0.87093,0.11325,0.10209,0,2.31668,0.55681,0.04945,0,0,0,0,0.18932,0.2406,0.36202,0,0,0,0,0,0,0.81095,2.16543,0.03546,0.24971,0.07796,0.1049,0.33524,1.02549,0.40441,0.31808,0,0,0,0,0.16052,0.03698,0.21583,1.32862,0.24305,0.8223,0.04239,0.04403,0,0,0,0,0.32197,1.32651,0,0,0.07796,0.339,0,0,0,0.03201,0.4156,0.03714,0.37754,0.66699,0,0.36911,0.16838,0.19554,0,0,0.0188,2.91409,0.41904,0.01736,0.08832,0,0
Clostridium_sp_CAG_964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00291,25.06887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus_gnavus,0.01753,0.23099,0,0.45531,0.09429,0,0,0.05079,0.0953,0,0.16995,0.07427,0.10134,1.19855,0,0,0.24095,0.07666,0.00392,0.17537,0.06543,0.08916,0.09761,0,0.01064,0.00411,0,0.08488,0.38178,0.03926,1.36804,0.65378,0.10225,0.00198,0.0603,11.57917,0.10211,0,0.10927,0.07588,0.09002,0.03892,0.21044,0,0,0,0,0.10426,0.04125,0.29727,0.08381,0.00662,0,0,0,0.31342,0.98542,0,0.00511,0.0239,0.22601,0,0,0.0658,0,0.11422,0.24764,0.07935,0.02231,0,0,0,0,0.62592,0,0.34452,0.01334,0.04504,0.04406,0,0,0.02959,0,0,0,0,0,0,0,0,0.05477,0,0.01365,2.76842,0,0.00883,0.07343,0.23246
Firmicutes_bacterium_CAG_83,0.02522,1.52873,0,0,0.39958,0.06988,0.28257,0,0.05452,0.00177,0.09198,0.02519,0.04015,0.0337,0,0.01856,0,0.02425,0.17067,0.00251,0.08582,0.12336,0.01944,0.02724,0.13277,0.21457,0.04568,0.00206,0.134,0,0,0.1058,0.09586,0.12163,0.11834,0,0.7196,0.06797,0.04557,0,0,0.29016,0.06222,0,10.94621,0.0477,0.21045,0,0,0,0.01027,0.00681,0.02434,0.25792,0.05726,0.65468,1.22944,0.10609,0.92162,0.11827,0.03466,0.02553,0.075,0.0411,0.08725,0.0051,0,0.00994,0,0.82404,0.18056,0.01312,0.00114,0.17871,0.93104,0.05346,0.02947,0,0.02564,0.13958,0.01722,0.00422,0,0.02908,0.20192,0,0.20209,0.00077,0.01062,0.04476,0.15749,0.00419,0,0,1.56271,0.178,0.0531,0.00733
Gordonibacter_pamelaeae,0.26227,0.10096,0.27196,0.47203,0.06583,0.30404,0,0.03985,0.30746,0.00201,0.03576,0.00825,0.06251,0.08793,0.04903,0.59562,0,0.24658,0.07943,0.16818,0.05529,0.18371,0.33769,0.11279,0.33049,0.27375,0.09289,0.28245,1.0222,0.00349,0.04396,0.14076,0.11961,0.05713,1.36626,0,0.21853,0.2814,0.64159,0.12874,0.06588,0.12696,0.52246,0.03278,0.94048,0.00672,0.0029,0.04443,0.13179,0.06625,0.08763,0.00038,0.00607,0.02046,0.00638,0.30496,0.33668,0.21123,0.0882,0.00771,0,0.02465,0.44281,0.39495,0.1757,0.0577,0.02309,0.31544,0.11632,0.75651,1.29529,0.18424,0.05154,0.06026,0.07858,0.32728,0.12315,0.06109,0.35451,0.11291,0.21364,0.03749,0.98474,2.45728,0.70991,0.00133,0.04443,0.04445,0.41098,0.76522,0.80085,0.05803,0,0.1429,0.42612,0.39919,0.29327,0.21502
Oscillibacter_sp_CAG_241,0.32608,0,0.11116,0,0,0.91776,0.00321,0.28862,0.02769,0.31626,0.38862,0,0,0,0,0.10397,0.01048,0.30544,0.02244,0.28151,0,1.39081,1.19063,0.01885,0.21918,1.4655,0,0.27195,0.37657,0,0,0,0,0.05174,0.15251,0,0,0.18698,0.08629,0,0,0,0,0,0.14466,0,0.00098,0,0.53122,0.00179,0.0206,0.27877,1.95806,0.13748,0.49207,0.00082,0.00791,0.00074,0.01356,0,0,0.01721,0.07772,0.30656,0.44118,0.10139,0.00536,0.01949,0.03014,0.05992,0.01272,0.26257,0.5514,0,0,0.24898,1.20565,0.3558,1.08878,0.01946,0.00601,0.06226,1.33307,0.42648,1.55193,0,0,0.13115,0.16607,0.96193,3.17176,0.03117,0,0,0,0,0,0
Eubacterium_eligens,0.15593,0,0.00092,0,0.01852,0.28067,0.03432,0.48084,0.11481,0.20233,0.04316,0,0.07738,0,0,0.04254,0.19018,0.00867,0.41321,0.00894,0.00456,0.10897,0.37955,0.07222,0.12054,2.01753,0,0,0.20967,0,0,0,0.04273,0.01102,0.13331,0,0,0,0,0,0,0,0,0.12656,0,0.20653,2.89737,0,0.21746,0.01413,0.04819,1.57208,1.30276,0.3261,1.14179,0,0,0.12545,0.06908,0.01342,0.59809,2.29817,0.68125,0.91233,0.45537,0.13209,0.09972,0.1112,0.02374,0.37353,0.11369,0.01226,1.54121,0,0.01584,0.01258,0.02434,0.02773,0.3362,0.05398,0.05751,0.51849,0,0.25166,0.29104,0,0,0,0,0.03377,0.05936,0.48639,0,0,0.02667,0.05956,0,0.05
